Title,Author,List Price,Amazon Price,Hard/ Paper,NumPages,Publisher,Pub year,ISBN-10,Height,Width,Thick,Weight (oz)
Pride and Prejudice (Dover Thrift Editions),Austin,7.95,7.95,H,272.0,Dover Publications,1995.0,486284735,8.2,5.2,0.7,7.2
Prized,"O'Brien, Caragh M.",16.99,10.79,H,368.0,Roaring Brook Press,2011.0,1596435704,,,1.2,
Psychology Ninth Edition in Modules,David G. Myers,98.95,98.95,H,778.0,Worth Publishers,2009.0,1429238240,11.3,9.5,1.5,
Pudd'nhead Wilson,Mark Twain,35.75,25.84,P,436.0,Nabu Press,2010.0,1145899323,9.5,7.4,1.0,25.6
Rainbow Green Live-Food Cuisine,Cousens,19.73,15.68,H,544.0,North Atlantic Books,2003.0,1556434650,9.0,7.0,1.0,
"Raw Food, Real World: 100 Recipes to Get the Glow",Kenny & Meingallis,37.5,25.0,H,384.0,William Morrow Cookbooks,2005.0,60793554,9.1,7.3,1.4,
Rebecca,Daphne du Maurier,14.95,5.98,P,416.0,Avon Books,1997.0,380730405,7.9,5.1,1.1,11.2
Reflections on the Psalms,Lewis,13.0,9.64,P,168.0,Mariner Books,1964.0,15676248,8.0,5.3,0.4,5.6
Requiem For a Dream,Selby Jr.,15.95,10.85,P,288.0,Da Capo Press,2000.0,1560252480,8.2,5.5,0.8,12.8
Revival: The Struggle for the Survival Inside the Obama White House,Richard Wolffe,26.0,16.91,H,320.0,Crown,2010.0,307717410,9.3,6.3,1.3,1.2
Romeo and Juliet,William Shakespeare,5.99,5.99,P,336.0,Simon and Schuster,2004.0,0743477111,6.6,4.2,1.0,6.4
Room,Donoghue,14.99,8.11,P,352.0,Back Bay Books,2011.0,316098329,8.2,5.4,1.0,14.4
Rules For Revolutionaries: The Capitalist Manifesto for Creating and Marketing New Products and Services,Kawasaki,16.0,12.47,P,224.0,Harper Paperbacks,2000.0,88730995,8.2,5.3,0.6,6.4
Run For Your Life,James Patterson & Michael Ledwidge,9.99,9.99,P,368.0,Vision,2010.0,446556998,8.0,4.2,1.2,6.4
Runaway,Alice Munro,15.95,10.85,P,352.0,Vintage,2005.0,1400077915,7.8,5.5,0.8,10.4
Safe Haven,Sparks,14.99,9.57,P,368.0,Grand Central Publishing,2011.0,446547603,8.2,5.2,1.0,11.2
Sanctuary (The Corrected Text),William Faulker,14.0,11.08,P,336.0,Vintage,1993.0,679748148,8.2,5.2,0.7,9.1
Sarah's Key,Tatiana de Rosnay,13.95,8.07,P,320.0,St. Martin's Griffin,2008.0,0312370849,8.2,5.4,0.9,11.2
Saving CeeCee Honeycut,Hoffman,15.0,6.0,P,320.0,Penguin,2010.0,143118579,7.6,5.1,0.7,8.0
Seabiscuit,Laura Hillenbrand,16.0,9.75,P,399.0,Ballantine books,2002.0,449005615,8.1,5.5,0.9,15.2
Security Analysis: Sixth Edition,Benjamin Graham,75.0,39.45,H,700.0,ÊMcGraw-Hil,2008.0,71592539,9.5,6.5,,
Seeing What's Next: Using Theories of Innovation to Predict Industry Change,Christensen,32.95,21.75,H,352.0,Harvard Business Press,2004.0,1591391857,9.5,6.5,1.2,25.6
Sex on the Moon:  The Amazing Story Behind the Most Audacious Heist in History,Ben Mezrich,26.95,17.73,H,320.0,DoubleDay,2011.0,385533926,9.4,6.4,1.3,20.8
Sh*t My Dad Says,Justin Halpern,15.99,9.58,H,176.0,It Books,2010.0,61992704,6.9,5.4,0.7,8.8
Slaughterhouse-Five,Kurt Vonnegut,15.0,7.89,P,288.0,Dial Press Trade,1999.0,385333846,8.0,5.3,0.6,9.6
Sleep for Success: Everything You Must Know About Sleep but Are too Tired to Ask,James B. Maas,24.0,16.32,H,242.0,Author Solutions,2010.0,1452037760,9.1,6.1,1.1,17.6
Someone Was Watching,David Patneaude,6.95,6.95,P,224.0,Albert Whitman & Company,1993.0,807575321,7.6,5.3,0.6,8.0
Songs of the Humpback Whale: A Novel,Jodi Picoult,16.0,10.22,P,352.0,Pocket Books,1992.0,743431014,8.3,5.4,1.0,13.6
"Speak, Memory: An Autobiography Revisited",Vladimir Nabokov,16.0,10.88,P,336.0,Vintage,1989.0,0679723390,7.9,5.1,0.8,11.2
Stalin's Genocides (Human Rights and Crimes Against Humanity),Norman Naimark,26.95,17.79,H,176.0,Princeton University Press,2010.0,691147841,8.6,5.7,0.8,12.6
State of Wonder,Ann Patchett,26.99,15.44,H,368.0,Harper,2011.0,0062049801,9.1,5.6,1.4,19.2
Story of a Girl,Zarr,7.99,7.99,P,224.0,"Little, Brown",2008.0,316014540,8.2,5.4,0.5,4.8
Strong Men Armed,Robert Leckie,17.95,12.08,P,600.0,DA CAPO PRESS,2010.0,306818876,8.2,5.5,1.6,20.8
Style: Lessons in Clarity and Grace,Joseph M. Williams,35.75,21.68,P,288.0,Longman,2010.0,205747469,8.4,5.4,0.5,12.0
Surviving Hitler: A Boy in the Nazi Death Camps,Andrea Warren,6.99,6.99,P,160.0,HarperCollins,2002.0,60007672,9.0,7.2,0.4,8.0
Swimsuit,James Patterson & Maxine Paetro,9.99,9.99,P,400.0,Grand Central Publishing,2011.0,446561355,7.8,4.2,1.2,7.2
Taming the Star Runner,S.E. Hinton,6.99,6.99,P,192.0,Laurel Leaf,1989.0,440204798,6.7,4.2,0.6,4.0
Texts From Last Night: All the Texts No One Remembers Sending,Lauren Leto,15.0,10.2,P,192.0,Gotham,2010.0,1592405436,7.1,4.9,0.5,9.1
Thank You Notes,Jimmy Fallon,12.0,7.51,P,176.0,Grand Central Publishing,2011.0,892967412,5.2,7.2,0.5,7.8
"That Was Then, This Is Now",S.E. Hinton,9.99,9.99,P,160.0,Speak,1998.0,140389660,7.5,4.3,0.6,4.0
The 80 10 10 Diet,Graham,,118.21,P,340.0,foodnsport Press,2006.0,1893831248,8.9,6.0,0.8,16.0
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,11.99,7.7,P,288.0,"Little, Brown Books for Young Readers",2009.0,316013692,5.5,8.2,0.8,9.6
the airmen and the headhunters,Judith M. Heimann,15.0,10.2,P,304.0,Mariner Books,2009.0,156033259,8.1,5.4,0.9,10.4
The Anatomy of Human Destructiveness,Erich Fromm,24.0,15.48,P,576.0,Holt Paperbacks,1992.0,080501604X,8.4,5.5,1.4,22.4
"The Armies of the Night: History as a Novel, the Novel as History",Norman Mailer,16.0,10.77,P,304.0,Plume,1995.0,452272793,8.0,5.3,0.7,9.6
The Art of Racing in the Rain,Garth Stein,14.99,8.43,P,336.0,Harper Paperbacks,2009.0,0061537969,7.4,6.0,0.8,8.8
The Audacity to Win: How Obama Won,,16.0,6.4,P,432.0,Penguin,2010.0,143118080,8.4,5.5,1.0,12.8
The Awakening,Kate Chopin,12.14,9.0,P,336.0,W.W. Norton,1993.0,393960579,8.4,5.2,0.9,16.0
The Awakening,Chopin,7.75,7.75,P,168.0,Simon & Brown,2011.0,1613820992,8.9,5.9,0.5,9.6
The Awakening,Chopin,14.1,11.99,H,116.0,Perfection Learning,1982.0,780735919,6.8,4.4,0.7,4.8
"The Berenstain Bears He Bear, She Bear",Berenstain,4.99,4.99,H,24.0,Random House Books,1999.0,679894268,5.7,4.3,0.4,8.0
The blind-side,Michael Lewis,13.95,8.5,P,352.0,W.W.norton & company,2009.0,039000838X,8.4,5.5,0.9,10.6
The Bonfire of the Vanities,Tom Wolfe,22.0,22.0,P,704.0,Farrar Straus Giroux,1988.0,B0041928UG,8.3,6.1,1.2,24.0
The Book Thief,Markus Zusak,12.99,7.31,P,576.0,Alfred A. Knopf,2007.0,375842209,7.9,5.1,1.3,12.8
The Bookseller of Kabul,Seierstad,13.99,10.68,P,288.0,Back Bay Books,2004.0,316159417,5.5,8.2,0.9,10.4
The Castle of Otranto: A Gothic Story,Horace Walpole,8.95,8.95,P,176.0,Oxford University Press,2009.0,199537216,7.6,5.2,0.3,4.2
The Cat in the Hat,Seuss,8.99,8.99,H,72.0,Random House Books,1957.0,717260593,9.3,6.8,0.4,8.5
The Classic Slave Narratives-paperback,Henry Gates,7.95,7.95,H,688.0,Signet Classics,2002.0,451528247,6.6,4.1,1.7,11.2
The Cloister Walk,Kathleen Norris,15.0,10.09,P,416.0,Riverhead Trade,1997.0,1573225843,8.2,5.4,1.0,13.6
The Conquest of New Spain (Penguin Classics),Bernal Diaz,17.0,11.44,P,412.0,Penguin Books,1963.0,140441239,7.1,4.3,0.7,3.2
The Crucible,Miller,13.0,9.28,P,152.0,Penguin (Non-Classics),1976.0,0140481389,7.7,5.0,0.4,4.0
The Crying of Lot 49,Thomas Pynchon,12.99,9.66,P,192.0,Harper Perennial,2006.0,006091307X,7.5,5.7,0.4,4.8
The Curious Reader: Exploring Personal and Academic Inquiry (2nd Edition),Bruce Ballenger,70.8,55.75,P,560.0,Longman,2005.0,321365224,8.9,5.8,0.9,19.2
"The Curious Researcher, MLA Update Edition (6th Edition)",Bruce Ballenger,48.2,39.72,P,400.0,Longman,2009.0,205745261,8.9,5.9,0.6,16.0
The Da Vinci Code,Brown,9.99,9.99,H,597.0,Anchor,2009.0,307474275,7.5,4.3,1.3,12.8
The Detox Miracle Sourcebook: Raw Foods and Herbs for Complete Cellular Regeneration,Morse,30.0,20.0,P,384.0,Kalindi Pres,2011.0,1935826190,11.0,9.0,1.0,32.0
The Distant Hours,Morton,15.0,8.6,P,576.0,Washington Square Press,2011.0,1439152799,8.3,5.2,1.6,19.2
The Diving Bell and the Butterfly,Jean-Dominique Bauby,14.0,8.04,P,131.0,Vintage,1998.0,0375701214,7.8,5.1,0.5,4.8
The Effective Executive: The Definitive Guide to Getting the Right Things Done,Drucker,16.99,10.68,P,208.0,Harper Paperbacks,2006.0,60833459,7.8,5.3,0.6,5.6
The Emporer's Handbook: A New Translation of the Meditations,Marcus Aurelius,22.0,14.96,H,160.0,Scribner,2002.0,0743233832,8.7,5.9,0.6,3.2
The Field Guide to John Deere Tractors,Don Macmillan,8.42,8.42,H,160.0,Voyageur Press,2003.0,089658514X,9.1,6.0,0.7,16.0
The Forest of Hands and Teeth,"Ryan, Carrie",9.99,9.99,P,336.0,Delacorte Books for Young Readers,2010.0,385736827,7.9,5.5,0.7,8.5
The Forgotten Garden,Kate Morton,15.0,8.52,P,560.0,Washington Square Press,2010.0,1416550550,8.5,5.0,1.5,16.0
The Girl With the Dragon Tatoo,Stieg Larsson,14.95,8.26,P,600.0,Vintage Crime / Black Lizard,2009.0,307454541,8.1,5.2,1.1,16.0
The Giving Tree,Shel Silverstein,18.99,11.16,H,64.0,HarperCollins,2004.0,60586753,10.3,7.9,0.5,16.0
The Glass Menagerie,Tennessee Williams,10.95,7.82,P,104.0,New Directions,1999.0,811214044,7.7,5.2,0.4,4.8
The God Delusion,Richard Dawkins,16.95,9.16,P,464.0,Mariner Books,2008.0,618918248,8.1,5.6,1.4,16.0
The Grand Design,Stephen Hawking,28.0,16.09,H,208.0,Bantam,2010.0,553805371,9.2,6.3,0.8,19.2
The Great Gatsby,F. Scott Fitzgerald,25.0,15.62,H,176.0,Scribner,1996.0,0684830426,9.6,6.3,0.7,13.6
The Great Gatsby,Fitzgerald,15.0,8.84,P,180.0,Scribner,1999.0,0743273567,7.9,5.2,0.5,4.0
The Great Gatsby,F. Scott Fitzgerald,15.0,8.92,P,180.0,Scribner; Reissue edition,1999.0,743273567,7.9,5.2,0.5,4.0
The Guernsey Literary and Potato Peel Pie Society,Shaffer,15.0,8.05,H,290.0,Dial Press,2009.0,385341008,7.8,5.4,0.7,8.0
The Guns of August,Barbara W. Tuchman,17.0,11.56,P,544.0,Ballantine Books,1994.0,034538623X,8.1,5.5,1.1,16.0
The Heart is a Lonely Hunter,Carson McCullers,13.95,7.7,P,368.0,Mariner,2004.0,618526412,8.3,5.0,0.9,14.4
The Help,Stockett,16.0,8.8,P,544.0,Berkley Trade,2011.0,425245136,8.3,5.0,0.8,9.6
The House on Mango Street,Cisneros,11.0,6.4,P,110.0,Vintage,1991.0,679734775,7.9,5.1,0.5,5.6
The Hunger Games,Suzanne Collins,8.99,4.94,P,384.0,Scholastic Press,2010.0,439023521,8.0,5.2,0.8,11.2
The Hunger Games,Suzanne Collins,17.99,10.21,H,384.0,Scholastic Press; 1st Edition,2008.0,0439023483,8.7,5.5,1.2,16.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,16.0,8.0,P,400.0,Broadway,2011.0,1400052181,8.0,5.2,1.2,16.0
The Imperfectionists: A Novel (Random House Reader's Circle),Rachman,15.0,8.36,P,304.0,Dial Press Trade Paperback,2011.0,385343671,7.9,5.1,0.8,8.8
The Inferno of Dante: Bilingual Edition,Dante,12.0,9.22,P,384.0,"Farrar, Straus, and Giroux",1996.0,374524521,7.9,5.6,1.0,15.2
The Innovator's Dilemma: The Revolutionary Book That Will Change the Way You Do Business,Christensen,17.99,9.99,P,320.0,Harper Paperbacks,2003.0,60521996,7.9,5.3,0.8,8.8
The Intelligent Investor: (Revised Edition),Benjamin Graham,21.99,12.5,P,640.0,Collins Business,2003.0,60555661,7.9,5.4,1.6,19.2
The Invisible Bridge (Vintage Contemporaries),Orringer,15.95,8.95,P,784.0,Vintage,2011.0,140003437,7.8,5.2,1.4,20.8
The Inward Morning: A Philosophical Exploration in Journal Form,Henry Bugbee,24.95,22.51,P,248.0,University of Georgia Press,1999.0,820320714,8.5,5.5,0.5,9.9
The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History,Don Macmillan,39.95,23.79,H,256.0,Voyageur Press,2007.0,140003437X,,,1.0,
The Kitchen House,Grissom,16.0,9.52,P,384.0,Touchstone,2010.0,1439153663,8.1,5.3,0.8,12.6
The Last Summer Of The Death Warriors,Francisco Stork,10.65,13.13,H,352.0,Arthur A. Levine Books; 1 edition,2010.0,0545151333,8.3,6.4,1.2,15.2
The Lincoln Lawyer,Michael Connelly,13.99,7.79,P,432.0,Grand Central Publishing,2011.0,1455500246,8.2,5.4,1.2,11.4
The Little Book That Still Beats the Market: 1st edition,Joel Greenblatt,19.95,10.86,H,183.0,Wiley,2010.0,470624159,7.1,5.3,0.8,9.1
The Loser: A Novel,Thomas Bernhard,14.0,11.2,P,208.0,Vintage,1996.0,1400077540,7.9,5.2,0.6,5.6
The Luzhin Defense,Vladimir Nabokov,15.0,10.2,P,272.0,Vintage,1990.0,0679727221,8.1,5.4,0.6,7.0
The March of Folly: From Troy to Vietnam,Barbara W. Tuchman,16.95,11.53,P,447.0,Ballantine Books,1985.0,0345308239,8.2,5.3,1.3,17.6
The Maze Runner,Dashner,9.99,9.99,P,400.0,Delacorte Press,2010.0,385737955,8.2,5.5,0.7,13.4
The Moviegoer,Walker Percy,14.95,10.17,P,241.0,1st International ed edition,1998.0,375701966,8.0,5.2,0.5,5.6
The Night Thoreau Spent in Jail: A Play,Lawrence,11.0,8.8,P,128.0,Hill and Wang,2001.0,0809012237,8.1,5.4,0.4,5.6
The Odyssey,Robert Fagles,17.0,10.47,P,560.0,Penguin Classics,1999.0,140268863,8.4,5.8,1.5,1.3
The Official Dictionary of Sarcasm: A Lexicon for Those of Us Who Are Better and Smarter Than the Rest of You,James Napoli,14.95,7.9,P,368.0,Sterling Innovation,2010.0,1402769520,6.9,6.1,1.2,26.4
The Old Man and The Sea,Earnest Hemingway,12.0,9.09,P,128.0,Scribner,1995.0,684801221,5.2,,0.8,4.0
The Outsiders,S.E. Hinton,9.99,9.99,P,192.0,Speak,1997.0,014038572X,7.5,4.3,0.5,5.6
The Paris Wife,Paula McLain,25.0,14.46,H,336.0,Ballantine Books,2011.0,0345521307,9.3,6.4,1.1,22.4
The perks of Being a Wallflower,Stephen Chbosky,14.0,8.22,P,213.0,MTV Books; origional edition,1999.0,0671027344,7.1,5.1,0.5,7.2
The Power of Six,"Lore, Pittacus",17.99,8.98,H,416.0,HarperCollins,2011.0,61974552,8.3,5.7,1.5,17.6
The Practice of Concern,John Traphagan,30.0,23.94,P,248.0,Carolina Academic Press,2004.0,89089406X,8.5,5.5,0.6,12.0
The Practice of Management,Drucker,16.99,11.28,P,416.0,Harper Paperbacks,2006.0,60878975,7.9,5.2,1.0,12.0
The Pursuit of History,John Tosh,34.8,24.9,P,368.0,Longman,2010.0,582894123,9.4,6.7,0.9,19.2
The River Between,Ngugi Wa Thiong'o,15.95,9.92,P,152.0,Longman,2008.0,435905481,7.7,5.1,0.5,4.8
The Scarlet Letter,Hawthorne,7.77,7.77,P,140.0,Tribeca Books,2011.0,1612930026,7.8,5.1,1.0,16.0
The Secret Garden,Frances Hodgson Burnett,3.95,3.95,P,288.0,Signet Classics,2003.0,451528832,6.7,4.1,1.0,5.6
The Secret Sharer and Other Stories,Joseph Conrad,2.0,0.77,P,128.0,Dover,1993.0,486275469,8.2,5.2,0.3,4.2
The Shape of Me and Other Stuff: Dr. Seuss's Surprising Word Book,Seuss,8.99,8.99,H,24.0,Random House Books,1997.0,679886311,5.8,4.4,0.6,1.6
The Sheik,E.M. Hull,18.95,15.15,P,304.0,Pine Street Books,2001.0,812217632,7.3,5.0,0.8,12.0
The Snowball: Warren Buffett and the Business of Life: Updated editionÊ,Alice Schroeder,20.0,13.6,P,832.0,Bantam,2009.0,553384619,9.2,5.9,1.5,32.0
The Sonnets and A Lovers Complaint,William Shakespeare,20.0,13.6,H,272.0,Penguin Classics,2010.0,141192577,8.0,5.7,1.0,13.6
The Sound and the Fury,William Faulkner,15.44,8.45,P,464.0,W.W. Norton,1993.0,393964817,8.5,5.1,0.8,15.2
The Sound and the Fury: The Corrected Text with Faulkner's Appendix,William Faulker,22.0,14.96,H,368.0,Modern Library,1992.0,67600175,7.9,5.0,1.0,11.2
The Sound of the Mountain,Kawabata,14.95,10.17,P,288.0,Vintage,1996.0,679762647,8.1,5.3,0.6,9.1
The Story of Ferdinand,Munro Leaf,17.99,10.88,H,72.0,Viking Juvenile,1936.0,670674249,9.4,7.4,0.5,14.4
The Tenth Circle,Jodi Picoult,16.0,10.11,P,416.0,Washington Square Press,2006.0,074349671X,8.2,5.2,1.2,13.6
The things they carried,Tim O'brian,14.95,8.28,P,256.0,Mariner books,2009.0,618706410,8.0,5.2,0.7,8.8
The Tiger's Wife: A Novel,Obreht,25.0,14.7,H,352.0,Random House,2011.0,385343833,8.3,5.7,1.1,17.6
The Time Keeper,Cropp,14.0,14.0,P,248.0,Copper Press,2005.0,976050617,8.4,5.4,0.7,10.4
The Time Traveller's Wife,Niffenegger,14.95,5.98,P,546.0,Harcourt,2004.0,015602943X,7.9,5.3,1.2,13.6
The Tragedy of Arthur: A Novel,Phillips,26.0,13.7,H,384.0,Random House,2011.0,1400066476,9.1,6.1,1.3,22.4
The Ultimate Guide to Tractors,Jim Glastonbury,24.99,17.99,H,448.0,Chartwell Books,2011.0,785828400,11.5,6.0,1.5,
The Woman in White,Wilkie Collins,20.0,12.17,H,720.0,Penguin Classics,2010.0,141192449,7.9,5.3,1.7,28.8
The World's Last Night: And Other Essays,Lewis,13.0,10.29,P,132.0,Mariner Books,2002.0,156027712,7.8,5.3,0.5,3.2
The Yacoubian Building,Alaa Aswany,13.99,11.19,P,255.0,Harper Perennial,2006.0,60878134,8.0,5.4,0.7,8.0
Their Eyes Were Watching God,Hurston,15.99,8.5,P,256.0,Harper Perennial Modern Classics,2006.0,0061120065,8.4,5.5,0.7,8.8
"They Say, I Say: The Moves That Matter in Academic Writing",Gerald Graff,12.6,12.6,P,245.0,W. W. Norton & Company,2009.0,039393361X,7.3,5.3,0.4,6.4
Thirteen Reasons Why,Jay Asher,10.99,6.9,P,336.0,Razorbill,2011.0,159514188X,8.1,5.4,1.0,12.0
This is a Book,Demitri Martin,24.99,14.69,H,288.0,Grand Central Publishing,2011.0,892967412,5.1,8.5,1.0,15.2
"To End All Wars: A Story of Loyalty and Rebellion, 1914-1918",Adam Hochschild,28.0,16.08,H,480.0,Houghton Mifflin Harcourt,2011.0,0618758283,9.1,6.2,1.7,25.6
To Kill a Mockingbird,Harper Lee,35.0,23.1,H,336.0,HarperCollins,2006.0,61205699,8.9,6.1,1.3,17.6
To the End of the Land (Vintage International),Grossman,15.95,10.68,P,672.0,Vintage,2011.0,307476405,7.9,5.2,1.4,19.2
Toliver's Secret,Esther Wood Brady,6.99,6.99,P,176.0,Yearling,1993.0,0679848045,7.6,5.2,0.4,3.2
Too Close to Call: The 36-Day Battle to Decide the 2000 Election,Jeffrey Toobin,14.95,10.75,P,320.0,Random House Trade Paperbacks,2002.0,375761071,7.9,5.2,0.8,8.8
Train to Pakistan,Khushwant Singh,14.95,10.17,P,181.0,Grove Press,1994.0,802132219,8.2,5.3,0.5,7.2
Trainspotting,Welsh,14.95,10.17,P,368.0,W.W. Norton,1996.0,393314804,8.3,5.5,0.8,13.6
Unaccustomed Earth,Lahiri,25.0,10.0,H,352.0,Knopf,2008.0,307265730,8.5,5.9,1.4,20.8
Unbroken,Laura Hillenbrand,27.0,13.49,H,496.0,Random House,2010.0,1400064163,9.4,6.3,1.7,28.0
Underground: The Tokyo Gas Attack and the Japanese Psyche,Murakami,15.0,10.2,P,384.0,Vintage,2001.0,375725806,8.0,5.2,0.9,10.6
Waiting,Ha Jin,15.0,10.2,P,308.0,Vintage,2000.0,375706410,8.0,5.2,0.7,10.4
War Trash,Ha Jin,15.95,10.85,P,368.0,Vintage,2005.0,1400075793,7.9,5.2,0.9,10.4
Water for Elephants: A Novel,Gruen,14.95,8.14,P,350.0,Algonquin Books,2007.0,1565125606,8.2,5.4,1.0,12.8
We have never been modern,Bruno Latour,26.0,19.01,P,168.0,Harvard University Press,1993.0,674948394,8.9,6.0,0.5,7.0
Where the Sidewalk Ends,Shel Silverstein,18.99,12.24,H,192.0,HarperCollins,2004.0,60572345,9.3,6.6,1.1,24.0
White Privilege,Paula S. Rothenberg,27.55,27.55,P,160.0,Worth Publishers,2011.0,1429233443,9.1,6.1,0.7,8.0
Why I wore lipstick,Geralyn Lucas,12.95,5.18,P,224.0,St Martin's Griffin,2005.0,031233446X,8.0,5.4,0.7,6.4
"Worlds Together, Worlds Apart: A History of the World: From 1000 CE to the Present",Robert Tignor,97.5,97.5,P,480.0,W. W. Norton & Company,2010.0,393934942,10.7,8.9,0.9,14.4
Wuthering Heights,Emily Bronte,16.99,4.95,P,344.0,CreatSpace,2011.0,1463533411,7.8,5.1,1.0,16.0
